
 ⛅️ wrangler 4.98.0
───────────────────
Successfully created tail, expires at 2026-06-06T20:28:41Z
Connected to doare-coffee-api, waiting for logs...
GET https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts - Ok @ 6/6/2026, 10:48:17 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 10:48:18 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 10:48:21 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 10:48:53 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 10:52:20 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 10:52:20 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 10:52:20 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 10:52:20 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/login - Ok @ 6/6/2026, 10:52:56 PM
POST https://doare-coffee-api.trannntunnn.workers.dev/api/admin/login - Ok @ 6/6/2026, 10:52:56 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/orders?limit=100 - Ok @ 6/6/2026, 10:52:56 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/customers?limit=100 - Ok @ 6/6/2026, 10:52:56 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts - Ok @ 6/6/2026, 10:52:56 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/dashboard - Ok @ 6/6/2026, 10:52:56 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 10:52:56 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/admin/customers?limit=100 - Ok @ 6/6/2026, 10:52:57 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts - Ok @ 6/6/2026, 10:52:57 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/admin/orders?limit=100 - Ok @ 6/6/2026, 10:52:57 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/admin/dashboard - Ok @ 6/6/2026, 10:52:57 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts - Ok @ 6/6/2026, 10:56:03 PM
POST https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts - Ok @ 6/6/2026, 10:56:03 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts/BPC6F3DAFA730043AC - Ok @ 6/6/2026, 10:56:42 PM
PUT https://doare-coffee-api.trannntunnn.workers.dev/api/admin/posts/BPC6F3DAFA730043AC - Ok @ 6/6/2026, 10:56:42 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 10:56:51 PM
OPTIONS https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 10:56:51 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/posts?limit=6 - Ok @ 6/6/2026, 10:56:51 PM
GET https://doare-coffee-api.trannntunnn.workers.dev/api/products - Ok @ 6/6/2026, 10:56:51 PM
